ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,LL_Code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
musk1252,Muskogean,,,,musk1252,,,,,,,,family,
maba1274,Maban,,,,maba1274,,maab;mabn,,,,,,family,
guri1248,Guriaso,Papunesia,-3.5718,141.597,guri1248,grx,grx,,,,guri1248,Guriaso,language,shifting
pawa1255,Pawaia,Papunesia,-6.88021,145.081,pawa1255,pwa,pawa;pwa,,,,pawa1255,Pawaia,language,shifting
bora1262,Boran,,,,bora1262,,,,,,,,family,
guam1236,Guamo,South America,8.2351027,-67.4018753,guam1236,,qax;qao;0in,,,,guam1236,Guamo,language,extinct
rash1249,Rashad,,,,rash1249,,,,,,,,family,
dama1272,Damal,Papunesia,-4.17345,137.496,dama1272,uhn,uhn,,,,dama1272,Damal,language,shifting
puqu1242,Puquina,South America,-15.8992,-69.9611,puqu1242,puq,puq,,,,puqu1242,Puquina,language,extinct
kusu1250,Kusunda,Eurasia,28.33,82.6,kusu1250,kgg,kgg,,,,kusu1250,Kusunda,language,nearly extinct
mirn1241,Mirndi,,,,mirn1241,,,,,,,,family,
kuli1252,Kuliak,,,,kuli1252,,,,,,,,family,
vile1241,Vilela,South America,-27.4063,-58.9661,vile1241,vil,vil,,,,vile1241,Vilela,language,extinct
tuni1252,Tunica,North America,30.9888,-92.5403,tuni1252,tun,tun,,,,tuni1252,Tunica,language,extinct
sent1261,Sentanic,,,,sent1261,,,,,,,,family,
arut1244,Arutani,South America,4.0673594,-62.8676118,arut1244,atx,atx,,,,arut1244,Arutani,language,nearly extinct
yetf1238,Yetfa,Papunesia,-4.05884,140.653,yetf1238,yet,yet,,,,yetf1238,Yetfa,language,shifting
hata1242,Hatam-Mansim,,,,hata1242,,,,,,,,family,
araf1243,Arafundi,,,,araf1243,arf,araf,,,,,,family,
movi1243,Movima,South America,-13.8115,-65.6348,movi1243,mzp,mzp,,,,movi1243,Movima,language,shifting
tamb1257,Tambora,Papunesia,-8.25,118.0,tamb1257,xxt,,,,,tamb1257,Tambora,language,extinct
buna1274,Bunaban,,,,buna1274,,,,,,,,family,
teme1251,Temeinic,,,,teme1251,,,,,,,,family,
cuit1236,Cuitlatec,North America,18.1,-100.5,cuit1236,cuy,qpb,,,,cuit1236,Cuitlatec,language,extinct
muni1258,Muniche,South America,-5.7441796,-76.426712,muni1258,myr,myr,,,,muni1258,Muniche,language,extinct
sout1293,South-Eastern Tasmanian,,,,sout1293,,,,,,,,family,
taia1239,Taiap,Papunesia,-4.05047,144.506,taia1239,gpn,gapu;gpn,,,,taia1239,Taiap,language,moribund
chiq1253,Chiquitano,,,,chiq1253,,,,,,,,family,
chim1301,Chimariko,North America,41.0,-123.0,chim1301,cid,,,,,chim1301,Chimariko,language,extinct
klam1254,Klamath-Modoc,North America,42.5861,-121.704,klam1254,kla,kla,,,,klam1254,Klamath-Modoc,language,extinct
yuru1243,Yurumanguí,South America,3.436864,-76.522636,yuru1243,,qic,,,,yuru1243,Yurumanguí,language,extinct
uruc1242,Uru-Chipaya,,,,uruc1242,,,,,,,,family,
west2604,West Bomberai,,,,west2604,,wbop,,,,,,family,
nduu1242,Ndu,,,,nduu1242,,nduu,,,,,,family,
anga1289,Angan,,,,anga1289,,angn,,,,,,family,
coah1252,Coahuilteco,North America,28.2589,-97.89,coah1252,xcw,xcw;coah,,,,coah1252,Coahuilteco,language,extinct
pomo1273,Pomoan,,,,pomo1273,,,,,,,,family,
mixe1287,Mixed Language,,,,mixe1287,,,,,,,,family,
aust1307,Austronesian,,,,aust1307,,,,,,,,family,
cayu1262,Cayubaba,South America,-13.2482,-65.4822,cayu1262,cyb,cyb,,,,cayu1262,Cayubaba,language,extinct
east1459,East Bird's Head,,,,east1459,,ebir,,,,,,family,
yeni1252,Yeniseian,,,,yeni1252,,yeos,,,,,,family,
toto1251,Totonacan,,,,toto1251,,toto,,,,,,family,
yama1264,Yámana,South America,-55.2748,-68.2648,yama1264,yag,yag,,,,yama1264,Yámana,language,nearly extinct
arti1236,Artificial Language,,,,arti1236,,,,,,,,family,
kunz1244,Kunza,South America,-23.0,-69.0,kunz1244,kuz,kuz,,,,kunz1244,Kunza,language,extinct
mail1249,Mailuan,,,,mail1249,,,,,,,,family,
shom1245,Shom Peng,Eurasia,7.02099,93.8064,shom1245,sii,sii;shom,,,,shom1245,Shom Peng,language,shifting
iber1250,Iberian,Eurasia,40.624,0.212401,iber1250,xib,,,,,iber1250,Iberian,language,extinct
nucl1710,Nuclear-Macro-Je,,,,nucl1710,,,,,,,,family,
boro1281,Bororoan,,,,boro1281,,boro,,,,,,family,
bira1253,Ongota,Africa,5.29807,37.025,bira1253,bxe,bxe,,,,bira1253,Ongota,language,nearly extinct
lule1238,Lule,South America,-25.221839,-61.887818,lule1238,ule,,,,,lule1238,Lule,language,extinct
hara1260,Harakmbut,,,,hara1260,,,,,,,,family,
yele1255,Yele,Papunesia,-11.3796,154.127,yele1255,yle,yle,,,,yele1255,Yele,language,shifting
miwo1274,Miwok-Costanoan,,,,miwo1274,,,,,,,,family,
pauw1244,Pauwasi,,,,pauw1244,,,,,,,,family,
pele1245,Pele-Ata,Papunesia,-5.58045,151.05,pele1245,ata,ata,,,,pele1245,Pele-Ata,language,shifting
left1242,Left May,,,,left1242,,lema,,,,,,family,
lowe1437,Lower Sepik-Ramu,,,,lowe1437,,,,,,,,family,
mang1423,Mangarrayi-Maran,,,,mang1423,,,,,,,,family,
hurr1239,Hurro-Urartian,,,,hurr1239,,,,,,,,family,
iton1250,Itonama,South America,-12.80431,-64.35748,iton1250,ito,ito,,,,iton1250,Itonama,language,nearly extinct
guai1237,Guaicurian,North America,24.1666666667,-110.3,guai1237,,,,,,guai1237,Guaicurian,language,extinct
tonk1249,Tonkawa,North America,30.25,-96.75,tonk1249,tqw,tqw,,,,tonk1249,Tonkawa,language,extinct
araw1281,Arawakan,,,,araw1281,,,,,,,,family,
piaw1238,Piawi,,,,piaw1238,,,,,,,,family,
chuk1271,Chukotko-Kamchatkan,,,,chuk1271,,,,,,,,family,
kond1302,Konda-Yahadian,,,,kond1302,,konh,,,,,,family,
usku1243,Usku,Papunesia,-3.63853,140.502,usku1243,ulf,usku;ulf,,,,usku1243,Usku,language,shifting
guah1252,Guahiboan,,,,guah1252,,,,,,,,family,
maku1246,Máku,South America,3.969231,-64.235892,maku1246,xak,,,,,maku1246,Máku,language,extinct
timo1261,Timor-Alor-Pantar,,,,timo1261,,,,,,,,family,
iroq1247,Iroquoian,,,,iroq1247,,,,,,,,family,
jiva1245,Chicham,,,,jiva1245,,,,,,,,family,
jarr1235,Jarrakan,,,,jarr1235,,,,,,,,family,
haid1248,Haida,North America,,,haid1248,hai,,,,,,,family,
atak1252,Atakapa,North America,30.9121,-93.0827,atak1252,aqp,aqp,,,,atak1252,Atakapa,language,extinct
nort1547,Northern Daly,,,,nort1547,,mlgp,,,,,,family,
adai1235,Adai,North America,31.6314,-92.0059,adai1235,xad,xad,,,,adai1235,Adai,language,extinct
lavu1241,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,lvk,lvk,,,,lavu1241,Lavukaleve,language,shifting
east2503,Eastern Trans-Fly,,,,east2503,,etfl,,,,,,family,
molo1262,Molof,Papunesia,-3.41946,140.557,molo1262,msl,msl;molf,,,,molo1262,Molof,language,shifting
sout1516,South Bird's Head Family,,,,sout1516,,,,,,,,family,
tuxa1239,Tuxá,South America,-8.953642,-38.2742287,tuxa1239,tud,tud,,,,tuxa1239,Tuxá,language,extinct
wara1303,Warao,South America,7.50851,-59.3528,wara1303,wba,wba,,,,wara1303,Warao,language,threatened
pidg1258,Pidgin,,,,pidg1258,,,,,,,,family,
ainu1252,Ainu,,,,ainu1252,,,,,,,,family,
yang1287,Yangmanic,,,,yang1287,,,,,,,,family,
beot1247,Beothuk,North America,48.0,-57.0,beot1247,bue,bue,,,,beot1247,Beothuk,language,extinct
abkh1242,Abkhaz-Adyge,,,,abkh1242,,,,,,,,family,
goil1242,Goilalan,,,,goil1242,,goil,,,,,,family,
jica1245,Jicaquean,,,,jica1245,,,,,,,,family,
saus1247,Sause,Papunesia,-3.16632,139.627,saus1247,sao,sao,,,,saus1247,Sause,language,shifting
sign1238,Sign Language,,,,sign1238,,,,,,,,family,
khoe1240,Khoe-Kwadi,,,,khoe1240,,khkw,,,,,,family,
misu1242,Misumalpan,,,,misu1242,,,,,,,,family,
kimk1238,Kimki,Papunesia,-4.2742,140.884,kimk1238,sbt,sbt,,,,kimk1238,Kimki,language,shifting
puri1261,Puri-Coroado,,,,puri1261,,,,,,,,family,
fasu1242,Fasu,Papunesia,-6.62687,143.284,fasu1242,faa,faa,,,,fasu1242,Fasu,language,shifting
kaya1327,Kayagaric,,,,kaya1327,,,,,,,,family,
sout2772,Southern Daly,,,,sout2772,,,,,,,,family,
coos1248,Coosan,,,,coos1248,,,,,,,,family,
buru1296,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,bsk,,,,buru1296,Burushaski,language,shifting
mure1235,Mure,South America,-13.636709,-62.2020909,mure1235,,,,,,mure1235,Mure,language,extinct
taik1256,Tai-Kadai,,,,taik1256,,,,,,,,family,
zamu1243,Zamucoan,,,,zamu1243,,,,,,,,family,
cofa1242,Cofán,South America,0.276675,-77.0643,cofa1242,con,con,,,,cofa1242,Cofán,language,shifting
algi1248,Algic,,,,algi1248,,,,,,,,family,
coto1248,Cotoname,North America,25.9116,-97.3956,coto1248,xcn,,,,,coto1248,Cotoname,language,extinct
skoo1245,Sko,,,,skoo1245,,,,,,,,family,
iran1263,Irántxe-Münkü,South America,-12.7178,-57.9806,iran1263,irn,irn,,,,iran1263,Irántxe-Münkü,language,moribund
naml1239,Namla-Tofanma,,,,naml1239,,,,,,,,family,
chit1248,Chitimacha,North America,30.3386,-90.9123,chit1248,ctm,ctm,,,,chit1248,Chitimacha,language,extinct
guai1249,Guaicuruan,,,,guai1249,,,,,,,,family,
wage1238,Wageman,Australia,-13.8627,131.893,wage1238,waq,waq,,,,wage1238,Wageman,language,moribund
toro1256,Tor-Orya,,,,toro1256,,,,,,,,family,
peba1241,Peba-Yagua,,,,peba1241,,,,,,,,family,
lara1258,Laragia,Australia,-12.4111,130.922,lara1258,lrg,,,,,lara1258,Laragia,language,nearly extinct
bord1247,Border,,,,bord1247,,,,,,,,family,
mawe1251,Mawes,Papunesia,-2.36944,139.752,mawe1251,mgk,mgk;maws,,,,mawe1251,Mawes,language,shifting
ayma1253,Aymaran,,,,ayma1253,,,,,,,,family,
soma1242,Somahai,,,,soma1242,,,,,,,,family,
daga1274,Dagan,,,,daga1274,,dagn,,,,,,family,
mass1263,Massep,Papunesia,-1.74679,138.294,mass1263,mvs,mass;mvs,,,,mass1263,Massep,language,moribund
pank1250,Pankararú,South America,-8.99999,-37.0167,pank1250,paz,paz,,,,pank1250,Pankararú,language,extinct
chib1249,Chibchan,,,,chib1249,,,,,,,,family,
nyul1248,Nyulnyulan,,,,nyul1248,,,,,,,,family,
wiru1244,Wiru,Papunesia,-6.35863,144.214,wiru1244,wiu,wiru;wiu,,,,wiru1244,Wiru,language,threatened
wadj1254,Wadjiginy,Australia,-12.8596,130.737,wadj1254,wdj,wdj,,,,wadj1254,Wadjiginy,language,moribund
lenc1239,Lencan,,,,lenc1239,,,,,,,,family,
siou1252,Siouan,,,,siou1252,,,,,,,,family,
nort2923,North Halmahera,,,,nort2923,,,,,,,,family,
kiow1265,Kiowa-Tanoan,,,,kiow1265,,,,,,,,family,
puin1248,Puinave,South America,3.92974,-67.6886,puin1248,pui,pui,,,,puin1248,Puinave,language,shifting
kres1240,Kresh-Aja,,,,kres1240,,,,,,,,family,
kamu1264,Kamula-Elevala,,,,kamu1264,,,,,,,,family,
chin1490,Chinookan,,,,chin1490,,,,,,,,family,
huit1251,Huitotoan,,,,huit1251,,,,,,,,family,
kxaa1236,Kxa,,,,kxaa1236,,,,,,,,family,
quec1387,Quechuan,,,,quec1387,,,,,,,,family,
dibi1240,Dibiyaso,Papunesia,-7.82096,142.779,dibi1240,dby,dby,,,,dibi1240,Dibiyaso,language,shifting
sulk1246,Sulka,Papunesia,-5.03471,151.891,sulk1246,sua,sulk;sua,,,,sulk1246,Sulka,language,shifting
yuka1259,Yukaghir,,,,yuka1259,,,,,,,,family,
kart1248,Kartvelian,,,,kart1248,,,,,,,,family,
east2499,East Kutubu,,,,east2499,,ekut,,,,,,family,
west1493,West Bird's Head,,,,west1493,,wbhe,,,,,,family,
pyuu1245,Pyu,Papunesia,-4.45003,141.018,pyuu1245,pby,pby;pyuu,,,,pyuu1245,Pyu,language,shifting
kadu1256,Kadugli-Krongo,,,,kadu1256,,,,,,,,family,
yale1246,Yale,Papunesia,-3.79762,141.566,yale1246,nce,nce,,,,yale1246,Yale,language,shifting
kala1402,Kalapuyan,,,,kala1402,,,,,,,,family,
seri1257,Seri,North America,28.9877,-112.384,seri1257,sei,,,,,seri1257,Seri,language,shifting
saha1256,Saharan,,,,saha1256,,,,,,,,family,
pano1259,Pano-Tacanan,,,,pano1259,,,,,,,,family,
beto1236,Betoi-Jirara,South America,7.223906,-71.420238,beto1236,,qtd-bet;qtd,,,,beto1236,Betoi-Jirara,language,extinct
nort1442,North-Eastern Tasmanian,,,,nort1442,,,,,,,,family,
yawa1259,Yawa-Saweru,,,,yawa1259,,,,,,,,family,
sino1245,Sino-Tibetan,,,,sino1245,,,,,,,,family,
atac1235,Atacame,South America,0.834931,-79.778137,atac1235,,0ip,,,,atac1235,Atacame,language,extinct
ticu1244,Ticuna-Yuri,,,,ticu1244,,,,,,,,family,
geel1240,Geelvink Bay,,,,geel1240,,,,,,,,family,
cams1241,Camsá,South America,1.14537,-76.8931,cams1241,kbh,kbh,,,,cams1241,Camsá,language,shifting
cent2045,Jalaa,Africa,9.59433,11.5853,cent2045,cet,cet,,,,cent2045,Jalaa,language,extinct
manu1261,Manubaran,,,,manu1261,,maub,,,,,,family,
take1257,Takelma,North America,42.423,-123.452,take1257,tkm,tkm;takm,,,,take1257,Takelma,language,extinct
pama1250,Pama-Nyungan,,,,pama1250,,,,,,,,family,
ando1256,Andoque,South America,-0.53751,-72.0869,ando1256,ano,ano,,,,ando1256,Andoque,language,shifting
pira1253,Pirahã,South America,-6.77713,-61.8167,pira1253,myp,myp,,,,pira1253,Pirahã,language,threatened
boga1247,Bogaya,Papunesia,-5.54487,142.255,boga1247,boq,boq,,,,boga1247,Bogaya,language,shifting
moch1259,Mochica,South America,-8.01667,-79.0,moch1259,omc,omc,,,,moch1259,Mochica,language,extinct
come1251,Comecrudan,North America,26.1333,-98.4667,come1251,xcm,xcm;ccrd,,,,come1251,Comecrudan,language,extinct
gumu1250,Gumuz,,,,gumu1250,,,,,,,,family,
mimi1240,Mimi-Gaudefroy,Africa,13.827507,21.11324,mimi1240,,0ga,,,,mimi1240,Mimi-Gaudefroy,language,extinct
amto1249,Amto-Musan,,,,amto1249,,,,,,,,family,
limi1242,Limilngan-Wulna,,,,limi1242,,,,,,,,family,
cent2225,Central Sudanic,,,,cent2225,,,,,,,,family,
iwai1246,Iwaidjan Proper,,,,iwai1246,,,,,,,,family,
sand1273,Sandawe,Africa,-5.26918,35.4808,sand1273,sad,sad,,,,sand1273,Sandawe,language,threatened
eski1264,Eskimo-Aleut,,,,eski1264,,,,,,,,family,
leco1242,Leco,South America,-15.0092,-67.8818,leco1242,lec,leko;lec,,,,leco1242,Leco,language,extinct
chum1262,Chumashan,,,,chum1262,,,,,,,,family,
otii1244,Oti,South America,-24.3153231,-50.5580261,otii1244,oti,oti,,,,otii1244,Oti,language,extinct
gong1255,Ta-Ne-Omotic,,,,gong1255,,,,,,,,family,
tara1323,Tarascan,,,,tara1323,,,,,,,,family,
sech1236,Sechuran,South America,-5.568969,-80.828247,sech1236,,qfi,,,,sech1236,Sechuran,language,extinct
nyim1244,Nyimang,,,,nyim1244,,,,,,,,family,
grea1241,Great Andamanese,,,,grea1241,,,,,,,,family,
xuku1239,Xukurú,South America,-8.6606156,-37.0869089,xuku1239,xoo,xoo,,,,xuku1239,Xukurú,language,extinct
alse1251,Alsea-Yaquina,North America,44.408,-123.94,alse1251,aes,alse;aes,,,,alse1251,Alsea-Yaquina,language,extinct
tuuu1241,Tuu,,,,tuuu1241,,,,,,,,family,
tura1263,Turama-Kikori,,,,tura1263,,,,,,,,family,
monu1249,Bogia,,,,monu1249,,,,,,,,family,
jara1244,Jarawa-Onge,,,,jara1244,,,,,,,,family,
cayu1241,Cayuse,North America,46.1136,-117.94,cayu1241,xcy,xcy,,,,cayu1241,Cayuse,language,extinct
pume1238,Pumé,South America,7.10677,-67.5996,pume1238,yae,yae,,,,pume1238,Pumé,language,shifting
chon1288,Chonan,,,,chon1288,,,,,,,,family,
savo1255,Savosavo,Papunesia,-9.12853,159.814,savo1255,svs,svs,,,,savo1255,Savosavo,language,shifting
tiwi1244,Tiwi,Australia,-11.6308,130.949,tiwi1244,tiw,tiwn;tiw,,,,tiwi1244,Tiwi,language,shifting
gaga1251,Gaagudju,Australia,-12.5176,132.643,gaga1251,gbu,gbu,,,,gaga1251,Gaagudju,language,extinct
char1238,Charruan,,,,char1238,,,,,,,,family,
sius1254,Siuslaw,North America,42.5111,-124.379,sius1254,sis,sis,,,,sius1254,Siuslaw,language,extinct
umbu1235,Umbugarla,Australia,-12.9325,131.825,umbu1235,umr,,,,,umbu1235,Umbugarla,language,extinct
doso1238,Doso-Turumsa,,,,doso1238,,,,,,,,family,
mero1237,Meroitic,Africa,16.9333,33.7333,mero1237,xmr,,,,,mero1237,Meroitic,language,extinct
taus1253,Taushiro,South America,-3.22497,-75.5603,taus1253,trr,trr,,,,taus1253,Taushiro,language,nearly extinct
yana1271,Yana,North America,39.2769,-121.608,yana1271,ynn,,,,,yana1271,Yana,language,extinct
gule1241,Gule,Africa,11.8336,33.6929,gule1241,gly,gly,,,,gule1241,Gule,language,extinct
cahu1265,Cahuapanan,,,,cahu1265,,,,,,,,family,
more1255,Yam,,,,more1255,,,,,,,,family,
west2434,Western Daly,,,,west2434,,,,,,,,family,
urar1246,Urarina,South America,-4.44006,-75.4211,urar1246,ura,ura,,,,urar1246,Urarina,language,shifting
wint1258,Wintuan,,,,wint1258,,,,,,,,family,
wash1253,Washo,North America,38.8184,-119.64,wash1253,was,,,,,wash1253,Washo,language,moribund
pala1350,Palaihnihan,,,,pala1350,,,,,,,,family,
pura1257,Purari,Papunesia,-7.59133,145.036,pura1257,iar,iar;pura,,,,pura1257,Purari,language,shifting
mong1349,Mongolic-Khitan,,,,mong1349,,,,,,,,family,
waka1280,Wakashan,,,,waka1280,,,,,,,,family,
sout2845,South Omotic,,,,sout2845,,,,,,,,family,
tini1245,Tinigua,South America,2.716,-73.768,tini1245,tit,tit,,,,tini1245,Tinigua,language,nearly extinct
aust1305,Austroasiatic,,,,aust1305,,,,,,,,family,
aika1237,Aikanã,South America,-12.6695,-60.5353,aika1237,tba,tba,,,,aika1237,Aikanã,language,threatened
yera1243,Yerakai,Papunesia,-4.28828,142.947,yera1243,yra,year;yra,,,,yera1243,Yerakai,language,shifting
nucl1580,Eleman,,,,nucl1580,,,,,,,,family,
sena1264,Senagi,,,,sena1264,,sngi,,,,,,family,
suki1244,Suki-Gogodala,,,,suki1244,,,,,,,,family,
tung1282,Tungusic,,,,tung1282,,,,,,,,family,
choc1280,Chocoan,,,,choc1280,,,,,,,,family,
uncl1493,Unclassifiable,,,,uncl1493,,,,,,,,family,
laal1242,Laal,Africa,10.0063,17.6143,laal1242,gdm,gdm,,,,laal1242,Laal,language,shifting
oyst1235,Oyster Bay-Big River-Little Swanport,Australia,-42.307378,147.50061,oyst1235,,,,,,oyst1235,Oyster Bay-Big River-Little Swanport,language,extinct
turk1311,Turkic,,,,turk1311,,,,,,,,family,
else1239,Elseng,Papunesia,-3.00176,140.418,else1239,mrf,morw;mrf,,,,else1239,Elseng,language,shifting
kawe1237,Kawesqar,,,,kawe1237,,,,,,,,family,
kwal1257,Kwalean,,,,kwal1257,,kwal,,,,,,family,
tana1288,Tanahmerah,Papunesia,-2.5523,133.18,tana1288,tcm,tcm,,,,tana1288,Tanahmerah,language,shifting
kuna1268,Kunama,Africa,14.5879,37.5292,kuna1268,kun,kunm;kun,,,,kuna1268,Kunama,language,not endangered
otom1276,Otomaco-Taparita,South America,7.869912,-70.997315,otom1276,,qpg,,,,,,family,extinct
maib1239,Maybrat-Karon,Papunesia,-1.3679,132.591,maib1239,ayz,ayz,,,,maib1239,Maybrat-Karon,language,not endangered
kara1497,Karami,Papunesia,-7.13333,143.117,kara1497,xar,xar,,,,kara1497,Karami,language,extinct
siam1242,Siamou,Africa,10.998,-4.92143,siam1242,sif,sif;seme,,,,siam1242,Siamou,language,not endangered
tupi1275,Tupian,,,,tupi1275,,,,,,,,family,
kuja1239,Kujarge,Africa,11.7473,22.1956,kuja1239,vkj,ckq;vkj,,,,kuja1239,Kujarge,language,shifting
abun1252,Abun,Papunesia,-0.57073,132.416,abun1252,kgr,kgr,,,,abun1252,Abun,language,shifting
cand1248,Candoshi-Shapra,South America,-4.23835,-76.9347,cand1248,cbu,cbu,,,,cand1248,Candoshi-Shapra,language,shifting
dizo1235,Dizoid,,,,dizo1235,,dizo,,,,,,family,
hatt1246,Hattic,Eurasia,33.9833,40.3333,hatt1246,xht,xht,,,,hatt1246,Hattic,language,extinct
kena1236,Kenaboi,Eurasia,3.154162,102.01596,kena1236,xbn,,,,,kena1236,Kenaboi,language,extinct
basq1248,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,basq;eus,,,,basq1248,Basque,language,threatened
gunw1250,Gunwinyguan,,,,gunw1250,,,,,,,,family,
mixe1284,Mixe-Zoque,,,,mixe1284,,,,,,,,family,
yano1268,Yanomamic,,,,yano1268,,,,,,,,family,
nada1235,Naduhup,,,,nada1235,,,,,,,,family,
mair1253,Mairasic,,,,mair1253,,,,,,,,family,
atha1245,Athabaskan-Eyak-Tlingit,,,,atha1245,,,,,,,,family,
kano1245,Kanoê,South America,-12.1789,-64.5812,kano1245,kxo,kxo,,,,kano1245,Kanoê,language,nearly extinct
kore1284,Koreanic,,,,kore1284,,,,,,,,family,
araw1282,Arawan,,,,araw1282,,,,,,,,family,
papi1255,Papi,Papunesia,-4.4725,142.011,papi1255,ppe,ppe;papi,,,,papi1255,Papi,language,moribund
atla1278,Atlantic-Congo,,,,atla1278,,,,,,,,family,
timo1237,Timote-Cuica,South America,8.848165,-70.975342,timo1237,,tmte,,,,timo1237,Timote-Cuica,language,extinct
worr1236,Worrorran,,,,worr1236,,,,,,,,family,
morb1239,Mor (Bomberai Peninsula),Papunesia,-2.85747,132.845,morb1239,moq,moq,,,,morb1239,Mor (Bomberai Peninsula),language,moribund
timu1245,Timucua,North America,30.3027,-82.3132,timu1245,tjm,tjm,,,,timu1245,Timucua,language,extinct
kwer1242,Greater Kwerba,,,,kwer1242,,,,,,,,family,
cadd1255,Caddoan,,,,cadd1255,,,,,,,,family,
mani1293,Maningrida,,,,mani1293,,,,,,,,family,
moro1289,Marori,Papunesia,-8.5692,140.688,moro1289,mok,mok;mora,,,,moro1289,Marori,language,shifting
heib1242,Heibanic,,,,heib1242,,,,,,,,family,
anim1240,Anim,,,,anim1240,,,,,,,,family,
xinc1237,Xincan,,,,xinc1237,,,,,,,,family,
sali1253,Salinan,North America,37.6646,-121.718,sali1253,sln,sln,,,,sali1253,Salinan,language,extinct
bilu1245,Bilua,Papunesia,-7.92388,156.663,bilu1245,blb,blb,,,,bilu1245,Bilua,language,shifting
yuat1252,Yuat,,,,yuat1252,,,,,,,,family,
kaur1274,Kaure-Kosare,,,,kaur1274,,,,,,,,family,
dogo1299,Dogon,,,,dogo1299,,,,,,,,family,
nort2933,North Bougainville,,,,nort2933,,,,,,,,family,
bert1248,Berta,Africa,10.6474,34.7042,bert1248,wti,wti;bert,,,,bert1248,Berta,language,shifting
sepi1257,Sepik,,,,sepi1257,,,,,,,,family,
spee1234,Speech Register,,,,spee1234,,,,,,,,family,
koma1264,Koman,,,,koma1264,,komn,,,,,,family,
kibi1239,Kibiri,Papunesia,-7.45276,144.296,kibi1239,prm,prm,,,,kibi1239,Kibiri,language,shifting
namb1299,Nambiquaran,,,,namb1299,,,,,,,,family,
nubi1251,Nubian,,,,nubi1251,,,,,,,,family,
maid1262,Maiduan,,,,maid1262,,,,,,,,family,
surm1244,Surmic,,,,surm1244,,,,,,,,family,
bula1259,Bulaka River,,,,bula1259,,bulr,,,,,,family,
bang1363,Bangime,Africa,14.8116,-3.77092,bang1363,dba,dba,,,,bang1363,Bangime,language,shifting
kolp1236,Kol (Papua New Guinea),Papunesia,-5.21042,151.583,kolp1236,kol,kol,,,,kolp1236,Kol (Papua New Guinea),language,shifting
baib1250,Baibai-Fas,,,,baib1250,,,,,,,,family,
song1307,Songhay,,,,song1307,,,,,,,,family,
japo1237,Japonic,,,,japo1237,,japc,,,,,,family,
coch1271,Cochimi-Yuman,,,,coch1271,,,,,,,,family,
waor1240,Waorani,South America,-1.12312,-76.683,waor1240,auc,auc,,,,waor1240,Waorani,language,shifting
sume1241,Sumerian,Eurasia,31.3,45.6667,sume1241,sux,,,,,sume1241,Sumerian,language,extinct
narr1279,Narrow Talodi,,,,narr1279,,,,,,,,family,
kute1249,Kutenai,North America,48.7892,-115.065,kute1249,kut,kut,,,,kute1249,Kutenai,language,moribund
sali1255,Salishan,,,,sali1255,,sali,,,,,,family,
book1242,Bookkeeping,,,,book1242,,,,,,,,family,
rama1271,Ramanos,South America,-14.3019482,-67.3590894,rama1271,,,,,,rama1271,Ramanos,language,extinct
kung1259,Kungarakany,Australia,-12.7,130.881,kung1259,ggk,ggk,,,,kung1259,Kungarakany,language,extinct
burm1264,Burmeso,Papunesia,-2.47582,138.203,burm1264,bzu,bzu,,,,burm1264,Burmeso,language,shifting
anem1249,Anem,Papunesia,-5.54836,148.993,anem1249,anz,anem;anz,,,,anem1249,Anem,language,shifting
touo1238,Touo,Papunesia,-8.58405,157.296,touo1238,tqu,tqu,,,,touo1238,Touo,language,shifting
kera1258,Keram,,,,kera1258,,,,,,,,family,
garr1260,Garrwan,Australia,,,garr1260,gbc,,,,,,,family,extinct
katu1274,Katukinan,,,,katu1274,,katk,,,,,,family,
zapa1251,Zaparoan,,,,zapa1251,,,,,,,,family,
indo1319,Indo-European,,,,indo1319,,,,,,,,family,
kaki1249,Kaki Ae,Papunesia,-7.9946,145.816,kaki1249,tbd,tbd,,,,kaki1249,Kaki Ae,language,shifting
tama1329,Tamaic,,,,tama1329,,,,,,,,family,
etru1241,Etruscan,Eurasia,41.9,12.4833,etru1241,ett,ett;tyrr,,,,etru1241,Etruscan,language,extinct
drav1251,Dravidian,,,,drav1251,,,,,,,,family,
esse1238,Esselen,North America,36.5473,-121.867,esse1238,esq,esq,,,,esse1238,Esselen,language,extinct
omur1241,Omurano,South America,-4.816667,-75.4,omur1241,omu,omu,,,,omur1241,Omurano,language,extinct
karo1304,Karok,North America,41.8228,-123.315,karo1304,kyh,,,,,karo1304,Karok,language,nearly extinct
kapo1250,Kapori,Papunesia,-3.52696,139.766,kapo1250,khp,khp,,,,kapo1250,Kapori,language,threatened
koia1260,Koiarian,,,,koia1260,,,,,,,,family,
yoku1255,Yokutsan,,,,yoku1255,,,,,,,,family,
west1503,Western Tasmanian,,,,west1503,,,,,,,,family,
fura1235,Furan,,,,fura1235,,,,,,,,family,
unat1236,Unattested,,,,unat1236,,,,,,,,family,
afro1255,Afro-Asiatic,,,,afro1255,,,,,,,,family,
taru1236,Taruma,South America,-0.90963,-59.904786,taru1236,tdm,qoi,,,,taru1236,Taruma,language,nearly extinct
